deployment_id,deployment_name,proposed_date_out,proposed_retrieval_date,actual_date_out,retrieval_date,proposed_lat,proposed_long,actual_lat,actual_long,fuzzed,project_id,project_name,sub_project_id,sub_project_name,sub_project_design,plot_name,plot_treatment,camera_failure_details,deployment_notes,bait_type,bait_description,feature,feature_type_methodology,image_resolution_setting,detection_distance,sensitivity_setting,quiet_period_setting,camera_id
"d55028","BAC.TRMR_Bro025_Mem137.20190520","","","2019-05-20","2019-06-20","","","48.08441","-112.74014","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","21","","","Bro025"
"d55034","BAC.TRMR_Rec020_Mem061.20181029","","","2018-10-29","2019-05-20","","","48.07528","-112.73171","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","17.4","","","Rec020"
"d55042","BAC.TRMR_Rec054_Mem035.20180902","","","2018-09-02","2018-10-28","","","48.11649","-112.67478","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","13.7","","","Rec054"
"d55040","BAC.TRMR_Rec032_Mem087.20180901","","","2018-09-01","2018-10-28","","","48.10769","-112.70052","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","13.7","","","Rec032"
"d55036","BAC.TRMR_Rec027_Mem055.20181029","","","2018-10-29","2019-04-12","","","48.06390","-112.73552","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Unknown Failure","Camera ran out of battery on 4/16/19 12:00","No Bait","","Not Entered","","","12.8","","","Rec027"
"d55031","BAC.TRMR_Rec001_Mem071.20180831","","","2018-08-31","2018-10-29","","","48.06703","-112.71971","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","17.4","","","Rec001"
"d55035","BAC.TRMR_Rec027_Mem016.20180831","","","2018-08-31","2018-10-29","","","48.09022","-112.71030","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","17.4","","","Rec027"
"d55037","BAC.TRMR_Rec029_Mem064.20180901","","","2018-09-01","2018-10-29","","","48.09041","-112.66273","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","19.2","","","Rec029"
"d55043","BAC.TRMR_Rec055_Mem025.20180901","","","2018-09-01","2018-10-29","","","48.11821","-112.69684","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","22.9","","","Rec055"
"d55032","BAC.TRMR_Rec007_Mem015.20180901","","","2018-09-01","2018-10-29","","","48.08010","-112.64270","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","27.4","","","Rec007"
"d55051","BAC.TRMR_Bro027_Mem139.20190520","","","2019-05-20","2019-06-19","","","48.06416","-112.72829","False","p211","Montana Ranch Survey","sp1230","Roosevelt Ranch","","","","Camera Functioning","","No Bait","","Not Entered","","","21.9","","","Bro027"
"d61861","BAC.BLCH_Rec004_Mem071.20190819","","","2019-08-19","2019-10-24","","","47.08567","-113.11209","False","p211","Montana Ranch Survey","sp1678","Blackfoot Challenge","","","","Camera Functioning","","No Bait","","Not Entered","","","15.5","","","Rec004"
