Project,Subproject,Treatment,"Deployment Name","ID Type","Deployment ID","Sequence ID","Begin Time","End Time","Species Name","Common Name",Age,Sex,"Individually Identifiable",Count,"Actual Lat","Actual Lon",Fuzzed
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s1,2018-06-12T18:51:58,2018-06-12T18:52:11,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s10,2018-06-19T19:03:24,2018-06-19T19:03:30,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s100,2018-07-13T05:19:44,2018-07-13T05:19:57,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s101,2018-07-13T09:45:44,2018-07-13T09:46:03,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s102,2018-07-13T18:40:33,2018-07-13T18:40:39,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s103,2018-07-15T19:27:06,2018-07-15T19:27:12,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s104,2018-07-20T09:44:35,2018-07-20T09:44:40,"Other Bird species","Other Bird species",Unknown,Unknown,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s105,2018-07-23T09:29:13,2018-07-23T09:29:19,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s106,2018-07-24T01:13:52,2018-07-24T01:13:58,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s107,2018-07-25T11:25:23,2018-07-25T11:25:28,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s108,2018-07-25T13:49:52,2018-07-25T13:49:59,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s109,2018-07-25T16:31:52,2018-07-25T16:32:18,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s11,2018-06-20T11:11:31,2018-06-20T11:11:36,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s11,2018-06-20T11:11:31,2018-06-20T11:11:36,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,3,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s110,2018-07-25T17:44:16,2018-07-25T17:44:22,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s111,2018-07-26T13:21:19,2018-07-26T13:21:25,"No Animal","No Animal",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s112,2018-07-27T08:37:46,2018-07-27T08:39:40,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,6,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s113,2018-07-27T09:10:59,2018-07-27T09:11:06,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,3,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s114,2018-07-27T09:14:49,2018-07-27T09:14:54,"Camera Trapper","Camera Trapper",Unknown,Unknown,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s12,2018-06-20T11:49:48,2018-06-20T11:49:54,"Odocoileus virginianus","White-tailed Deer",Adult,Male,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s13,2018-06-20T11:53:40,2018-06-20T11:53:45,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,1,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s14,2018-06-20T13:02:35,2018-06-20T13:02:41,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s15,2018-06-20T13:05:28,2018-06-20T13:07:33,"Cervus elaphus","Elk aka Red Deer",Adult,Female,N,2,47.04886,-113.23121,False
"Montana Ranch Survey","Bandy Ranch",,BAC.BAND_Rec061_Mem026.20180612,Researcher,d46071,d46071s15,2018-06-20T13:05:28,2018-06-20T13:07:33,"Cervus elaphus","Elk aka Red Deer",Unknown,Unknown,N,2,47.04886,-113.23121,False
